Business Data Analyst - Modeling & Profiling,Career Infosystem,,,https://www.naukri.com/job-listings-business-data-analyst-modeling-profiling-career-infosystem-mumbai-8-to-12-years-221022901009,8-12 Yrs,Just Now,Not disclosed,Mumbai,"['Business Analyst', 'Business Data Analyst', 'Data Profiling', 'Data Modeling', 'Data Analytics']"
Immediate Openings For Data Analyst Role - Pondicherry Location Freshe,Rapid Care,3.5,(26 Reviews),https://www.naukri.com/job-listings-immediate-openings-for-data-analyst-role-pondicherry-location-freshe-rapid-care-transcription-private-limited-pondicherry-puducherry-0-to-1-years-210422006435,0-1 Yrs,10 Days Ago,"50,000 - 1,50,000 PA.",Pondicherry/Puducherry,[]
Associate/Senior Associate - Data Engineer / Data Analyst,Morgan Stanley,4.1,(592 Reviews),https://www.naukri.com/job-listings-associate-senior-associate-data-engineer-data-analyst-morgan-stanley-advantage-services-pvt-ltd-mumbai-2-to-5-years-121022500942,2-5 Yrs,9 Days Ago,Not disclosed,Mumbai,"['Data analysis', 'Data management', 'Analytical', 'Data quality', 'Risk management', 'IT operations', 'Portfolio management', 'Analytics']"
Urgent opening For the position of Assistant Manager Data Analyst,Genpact,4.0,(20800 Reviews),https://www.naukri.com/job-listings-urgent-opening-for-the-position-of-assistant-manager-data-analyst-genpact-india-private-limited-kolkata-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-1-to-5-years-111022007505,1-5 Yrs,10 Days Ago,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","['data analytics', 'advanced excel', 'business analysis', 'Tableau', 'exploratory data analysis', 'Power Bi', 'business consulting']"
Sr. Data Analyst,Congruex,4.1,(119 Reviews),https://www.naukri.com/job-listings-sr-data-analyst-congruex-asia-pacific-llp-mohali-6-to-8-years-310822000594,6-8 Yrs,1 Day Ago,"10,00,000 - 12,00,000 PA.",Temp. WFH - Mohali,[]
"Senior Data Analyst
",nurture.farm,3.9,(37 Reviews),https://www.naukri.com/job-listings-senior-data-analyst-nurture-farm-bangalore-bengaluru-3-to-8-years-260922004708,3-8 Yrs,1 Day Ago,Not disclosed,Bangalore/Bengaluru,['sql']
Immediate Opening - Data Analyst - Walk in - Registration Mandatory,Signals And Systems,4.2,(57 Reviews),https://www.naukri.com/job-listings-immediate-opening-data-analyst-walk-in-registration-mandatory-signals-systems-india-pvt-ltd-chennai-0-to-3-years-171022003545,,4 Days Ago,Not disclosed,Chennai,[]
Professional - MIS Executive/ Data Analyst,Acuity Knowledge Partners,3.8,(319 Reviews),https://www.naukri.com/job-listings-professional-mis-executive-data-analyst-acuity-knowledge-services-india-private-limited-gurgaon-gurugram-3-to-6-years-140922003057,3-6 Yrs,2 Days Ago,Not disclosed,Hybrid - Gurgaon/Gurugram,"['MIS Reporting', 'Data Management', 'Data Analysis']"
AVP-Data Analyst,Allegis Services India Pvt. Ltd.,,,https://www.naukri.com/job-listings-avp-data-analyst-allegis-services-india-pvt-ltd-gurgaon-gurugram-11-to-16-years-171022004883,11-16 Yrs,4 Days Ago,Not disclosed,Hybrid - Gurgaon/Gurugram,[]
Virtue Analytics - Data Analyst,Virtue Analytics,4.6,(7 Reviews),https://www.naukri.com/job-listings-virtue-analytics-data-analyst-virtue-analytics-lucknow-1-to-3-years-221022900232,1-3 Yrs,Few Hours Ago,Not disclosed,Lucknow,"['Data Science', 'Data Analytics', 'Analytics', 'Python']"
